movieId;title;genres;imdbId;tmdbId;release_year;poster_url;language
1;Toy Story (1995);Adventure|Animation|Children|Comedy|Fantasy;114709;862;1995;https://image.tmdb.org/t/p/w300/rhIRbceoE9lR4veEXuwCC2wARtG.jpg;en
2;Jumanji (1995);Adventure|Children|Fantasy;113497;8844;1995;https://image.tmdb.org/t/p/w300/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg;en
3;Grumpier Old Men (1995);Comedy|Romance;113228;15602;1995;https://image.tmdb.org/t/p/w300/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg;en
4;Waiting to Exhale (1995);Comedy|Drama|Romance;114885;31357;1995;https://image.tmdb.org/t/p/w300/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg;en
5;Father of the Bride Part II (1995);Comedy;113041;11862;1995;https://image.tmdb.org/t/p/w300/e64sOI48hQXyru7naBFyssKFxVd.jpg;en
6;Heat (1995);Action|Crime|Thriller;113277;949;1995;https://image.tmdb.org/t/p/w300/zMyfPUelumio3tiDKPffaUpsQTD.jpg;en
7;Sabrina (1995);Comedy|Romance;114319;11860;1995;https://image.tmdb.org/t/p/w300/zENmHYYCsR6xgdyh2uHXPX4tyXE.jpg;en
8;Tom and Huck (1995);Adventure|Children;112302;45325;1995;https://image.tmdb.org/t/p/w300/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg;en
9;Sudden Death (1995);Action;114576;9091;1995;https://image.tmdb.org/t/p/w300/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg;en
10;GoldenEye (1995);Action|Adventure|Thriller;113189;710;1995;https://image.tmdb.org/t/p/w300/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg;en
11;American President, The (1995);Comedy|Drama|Romance;112346;9087;1995;https://image.tmdb.org/t/p/w300/lymPNGLZgPHuqM29rKMGV46ANij.jpg;en
12;Dracula: Dead and Loving It (1995);Comedy|Horror;112896;12110;1995;https://image.tmdb.org/t/p/w300/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg;en
13;Balto (1995);Adventure|Animation|Children;112453;21032;1995;https://image.tmdb.org/t/p/w300/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg;en
14;Nixon (1995);Drama;113987;10858;1995;https://image.tmdb.org/t/p/w300/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg;en
15;Cutthroat Island (1995);Action|Adventure|Romance;112760;1408;1995;https://image.tmdb.org/t/p/w300/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg;en
16;Casino (1995);Crime|Drama;112641;524;1995;https://image.tmdb.org/t/p/w300/jC0dqpkRMwh3A1X2PHahTxOaLbp.jpg;en
17;Sense and Sensibility (1995);Drama|Romance;114388;4584;1995;https://image.tmdb.org/t/p/w300/1ryNXjmwdCTqLXxXCG9BGvZyMOH.jpg;en
18;Four Rooms (1995);Comedy;113101;5;1995;https://image.tmdb.org/t/p/w300/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg;en
19;Ace Ventura: When Nature Calls (1995);Comedy;112281;9273;1995;https://image.tmdb.org/t/p/w300/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg;en
20;Money Train (1995);Action|Comedy|Crime|Drama|Thriller;113845;11517;1995;https://image.tmdb.org/t/p/w300/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg;en
